symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
GOLD,234.33999999999997,TARGET,3,2013-07-08 08:23:00,2013-07-08 12:22:00,1225.5,1236.75,1.1717,2.679662520048104
GOLD,-354.43607083333796,STOP_SAME,0,2013-07-08 15:31:00,2013-07-08 15:32:00,1239.1,1233.0656999999999,-1.7721803541666898,0.8006091928106719
GOLD,-423.00035645091765,STOP,1,2013-07-10 11:47:00,2013-07-10 12:32:00,1257.4,1252.8458999999998,-2.1407108787878486,1.1254818464135317
GOLD,247.13181618190708,TARGET,1,2013-07-10 22:07:00,2013-07-10 23:00:00,1266.4,1286.2000000000003,1.3066212121212213,1.886641230976916
GOLD,-323.03178546707704,STOP,9,2013-07-11 12:30:00,2013-07-11 14:54:00,1285.2839999999999,1278.2205,-1.664419865145259,1.3688834283556828
GOLD,-342.231390385993,STOP,1,2013-07-16 14:31:00,2013-07-16 15:13:00,1294.6,1288.6101,-1.824065978723434,1.5100764426532671
GOLD,-295.14978606299655,STOP,3,2013-07-18 14:55:00,2013-07-18 15:38:00,1288.1869,1280.8179,-1.6326873778113473,1.73149501021981
GOLD,-511.26739053769523,STOP_SAME,0,2013-07-18 16:01:00,2013-07-18 16:08:00,1284.2,1280.9178,-2.9236589000000515,0.6714703235706425
GOLD,61.4742164134598,TARGET,2,2013-07-19 18:30:00,2013-07-22 01:31:00,1293.9,1297.3500000000004,0.37336956521748044,0.5370019451786399
SILVER,33.12150842996735,TARGET,2,2013-07-19 18:32:00,2013-07-22 01:35:00,19.46,19.505000000000003,0.2011666666667159,0.3630212872663344
GOLD,227.88720662160193,TARGET,55,2013-07-22 01:31:00,2013-07-23 18:32:00,1314.3,1344.6,1.3683712871287075,0.6186411421723473
GOLD,-480.9586056403921,STOP,2,2013-07-25 17:02:00,2013-07-25 17:54:00,1330.0,1326.4722,-2.811032818181792,0.4251918932726451
GOLD,139.51279067554736,TARGET,3,2013-07-25 19:11:00,2013-07-26 03:00:00,1332.5,1338.8000000000002,0.8639761904762241,0.18154090370125414
GOLD,-257.8928164806543,STOP,2,2013-07-31 01:45:00,2013-07-31 12:09:00,1335.0,1326.672,-1.5699531428571392,2.4904173197224146
GOLD,52.38334699454519,TARGET,4,2013-08-07 19:30:00,2013-08-08 03:08:00,1286.2,1289.5,0.32922727272724506,0.43864127649390927
GOLD,-389.85396323667703,STOP,1,2013-08-08 12:26:00,2013-08-08 12:30:00,1293.0,1289.0097,-2.4341887777777123,0.9831775954625468
GOLD,150.87300210076208,TARGET,6,2013-08-08 12:30:00,2013-08-08 14:14:00,1294.293,1301.9324999999997,0.9902365010798984,2.0735193147346256
GOLD,157.42959997533052,TARGET,28,2013-08-09 09:45:00,2013-08-11 22:02:00,1310.3,1318.3999999999996,1.0132037037036705,2.470574253769783
GOLD,110.75006392115824,TARGET_SAME,0,2013-08-11 22:35:00,2013-08-11 22:36:00,1319.8,1324.75,0.6986212121212356,1.023918730239582
GOLD,88.14381971714649,TARGET,2,2013-08-12 12:40:00,2013-08-12 13:01:00,1330.2,1334.4,0.5483571428571679,1.1377589272656468
