pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
-200.0,STOP,1,2020-03-11 17:00:00,2020-03-11 17:27:00,1645.6084571299796,1643.5,-1.0,0.22436782338022895
-196.0,STOP_SAME,0,2020-03-13 15:45:00,2020-03-13 15:45:00,1563.6853463223126,1560.4,-1.0,0.2520861351236834
-192.08,STOP,1,2020-03-18 07:17:00,2020-03-18 07:40:00,1514.7960708007136,1505.3,-1.0,1.0437303074433149
-188.2384,STOP_SAME,0,2020-03-18 08:00:00,2020-03-18 08:00:00,1509.340859360959,1505.3,-1.0,0.4051424552963859
-184.473632,STOP,1,2020-03-25 04:39:00,2020-03-25 04:51:00,1659.9506793016144,1656.6,-1.0,0.2881859518102564
-180.78415936000002,STOP,6,2020-03-25 06:06:00,2020-03-25 07:36:00,1655.8030533272379,1648.1,-1.0,0.5865411158947735
-177.1684761728,STOP_SAME,0,2020-03-31 03:19:00,2020-03-31 03:19:00,1627.6674935931178,1625.6,-1.0,0.1913117084014705
-173.62510664934402,STOP_SAME,0,2020-03-31 04:01:00,2020-03-31 04:01:00,1627.425122099227,1612.0,-1.0,1.4471795916721983
-170.15260451635714,STOP_SAME,0,2020-04-01 13:30:00,2020-04-01 13:30:00,1595.6564696858559,1589.7,-1.0,1.198745344776145
265.07388363014536,TARGET,50,2020-04-01 17:30:00,2020-04-02 07:12:00,1593.0810081448326,1611.8087200732616,1.5896527443318444,1.887204617924867
-172.0510300986329,STOP,2,2020-04-03 08:36:00,2020-04-03 09:13:00,1628.5918815485195,1624.8,-1.0,1.0468658927250931
-168.61000949666024,STOP_SAME,0,2020-04-06 07:06:00,2020-04-06 07:06:00,1641.8386441115588,1638.8,-1.0,0.7463646992087375
-165.23780930672703,STOP,9,2020-04-08 14:24:00,2020-04-08 16:42:00,1681.0926897279583,1674.4,-1.0,1.4322786163031758
985.141714322,TARGET,31,2020-04-08 23:07:00,2020-04-09 06:52:00,1678.2494330741367,1689.5007102783154,6.083635770075669,0.4931261688539039
-181.6358874070325,STOP_SAME,0,2020-04-09 18:11:00,2020-04-09 18:11:00,1727.1695061026137,1724.5,-1.0,0.32268162360602237
-178.00316965889186,STOP_SAME,0,2020-04-14 00:31:00,2020-04-14 00:31:00,1760.3377741076097,1753.3,-1.0,1.3780317107164979
-174.44310626571402,STOP,1,2020-04-14 08:54:00,2020-04-14 09:09:00,1765.4771442947251,1762.4,-1.0,0.6260883044079886
-170.95424414039977,STOP,3,2020-04-14 10:37:00,2020-04-14 11:17:00,1762.4049027484402,1758.3,-1.0,0.8410917463653143
452.07673351629836,TARGET,30,2020-04-15 22:47:00,2020-04-16 06:18:00,1739.2213587752008,1755.1995483381152,2.698399163015167,1.1117702825877769
-176.57669392791774,STOP,10,2020-04-30 13:15:00,2020-04-30 15:58:00,1717.2730437361463,1705.9,-1.0,1.1715169063155682
-173.04516004935937,STOP,1,2020-05-18 15:11:00,2020-05-18 15:25:00,1736.7916744032946,1734.1,-1.0,0.10286855443333577
615.3703778692721,TARGET,22,2020-12-07 09:15:00,2020-12-07 14:49:00,1831.747947366495,1858.0485733360658,3.6286999118053984,0.8267423796164491
345.2285612864334,TARGET,318,2020-12-21 11:30:00,2020-12-28 02:23:00,1879.4668203996634,1918.122841980015,1.8979900063826427,1.5806194921529997
-188.79623563148627,STOP,9,2021-05-12 13:27:00,2021-05-12 15:30:00,1828.454725958681,1821.5,-1.0,1.0427060509763255
-185.02031091885655,STOP,10,2021-06-18 14:55:00,2021-06-18 17:29:00,1775.3748450269254,1768.6,-1.0,0.8531495982474793
1430.455608690122,TARGET,116,2021-07-02 14:15:00,2021-07-06 01:29:00,1778.7064187745254,1801.6355232437231,7.889126188617173,0.38027025151765775
-209.9290168742819,STOP,73,2021-09-27 11:07:00,2021-09-28 06:17:00,1745.5930168563123,1742.6,-1.0,0.47596773902216555
-205.73043653679622,STOP,5,2021-09-29 15:31:00,2021-09-29 16:56:00,1729.2062333983813,1724.3,-1.0,0.7038035150140318
-201.6158278060603,STOP,163,2021-11-26 18:00:00,2021-11-30 16:00:00,1784.665884261148,1778.8,-1.0,0.4646888873816604
