symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
SILVER,13.904042315695708,TARGET_SAME,0,2020-01-07 23:16:00,2020-01-07 23:23:00,18.48,18.57,0.8825000000000164,0.9143853312012543
SILVER,-19.22295193519171,STOP,35,2020-01-07 23:41:00,2020-01-08 08:18:00,18.76,18.46152,-1.1989340000000002,3.2026920542218584
GOLD,-17.660270529411513,STOP,48,2020-01-07 23:41:00,2020-01-08 11:33:00,1625.0,1576.3221,-1.101469683651805,2.5852123318078304
GOLD,16.894493560193155,TARGET,3,2020-01-10 07:04:00,2020-01-10 07:59:00,1556.2,1568.0500000000002,1.1045253164557007,0.8536334623844954
GOLD,-18.343388326867203,STOP_SAME,0,2020-01-10 08:05:00,2020-01-10 08:07:00,1578.5,1549.9485,-1.173331425925927,2.8205827419289244
GOLD,15.984152796728086,TARGET_SAME,0,2020-01-10 12:02:00,2020-01-10 12:04:00,1557.7,1568.0500000000002,1.0469927536231942,0.12667962509998637
SILVER,16.322868187324747,TARGET,3,2020-01-10 15:02:00,2020-01-10 15:45:00,18.05,18.17,1.0472499999999882,1.0451418777266828
GOLD,20.057182530904136,TARGET,12,2020-01-10 14:32:00,2020-01-10 17:37:00,1566.3,1588.5,1.2868378378378449,0.679319370125914
GOLD,-18.808222421250996,STOP_SAME,0,2020-01-10 17:37:00,2020-01-10 17:38:00,1590.7,1558.3401000000001,-1.1528876655844147,1.2083326494447362
GOLD,-20.287248767655818,STOP_SAME,0,2020-01-10 18:49:00,2020-01-10 18:57:00,1576.6,1557.8406,-1.2728977093023341,0.4449043087994896
SILVER,-20.035204391872742,STOP,15,2020-01-10 15:45:00,2020-01-10 19:39:00,18.28,18.05193,-1.2590568095238162,0.7259565831684565
SILVER,-42.52522994859967,STOP_SAME,0,2020-01-10 21:47:00,2020-01-10 21:58:00,18.13,18.0819,-2.810396666666828,0.264528653855996
GOLD,-23.303028120276366,STOP,6,2020-01-13 03:01:00,2020-01-13 04:33:00,1563.8,1554.8436000000002,-1.6317626486486523,0.5919643366852808
GOLD,-16.336422351283527,STOP_SAME,0,2020-01-14 15:36:00,2020-01-14 15:37:00,1569.0,1541.9565,-1.1825277058823527,1.0403185670058428
SILVER,-27.902085814292178,STOP,4,2020-01-15 02:30:00,2020-01-15 03:43:00,17.85,17.7822,-2.068644000000008,1.341043658480163
SILVER,-16.79271248152342,STOP,5,2020-01-15 04:30:00,2020-01-15 06:16:00,18.05,17.852130000000002,-1.2987340555555476,0.54943965708481
SILVER,9.875118672398752,TARGET_SAME,0,2020-01-15 13:50:00,2020-01-15 13:59:00,17.86,17.935000000000002,0.7841000000000458,1.4594621174585085
GOLD,17.141165232208355,TARGET,61,2020-01-14 20:29:00,2020-01-15 14:14:00,1559.5,1580.0500000000002,1.2708357664233667,1.0621435547716471
GOLD,-15.158266728380763,STOP,3,2020-01-15 14:14:00,2020-01-15 14:49:00,1582.1,1550.1483,-1.1540772467105265,1.3621169015034276
GOLD,-16.125891475065817,STOP_SAME,0,2020-01-15 14:45:00,2020-01-15 14:48:00,1570.3,1550.5478999999998,-1.2567553791208848,1.19786817390348
