pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
-195.66699808540264,STOP,94,2020-08-18 14:11:00,2020-08-19 14:39:00,1993.523386084047,1973.4357572863416,-1.0,1.0000000000000056
-191.75365812369458,STOP,17,2020-08-21 07:21:00,2020-08-21 11:42:00,1934.268884011824,1917.0083608055493,-1.0,1.0000000000000058
563.7557548836621,TARGET,26,2020-08-31 07:26:00,2020-08-31 13:50:00,1958.6848068559384,2001.9601440885274,3.0000000000000004,0.9999999999999966
-199.19370005889397,STOP,89,2020-09-01 14:20:00,2020-09-02 13:35:00,1969.5274342352698,1949.4462140922094,-1.0,1.0
-195.2098260577161,STOP,158,2020-09-04 12:36:00,2020-09-08 10:10:00,1926.1490406697633,1910.8329915055951,-1.0,1.000000000000003
-191.30562953656175,STOP,5,2020-09-21 08:19:00,2020-09-21 09:33:00,1943.1372693350538,1928.3858809965345,-1.0,1.000000000000006
562.4385508374874,TARGET,81,2020-12-03 16:19:00,2020-12-04 13:30:00,1828.9383953498004,1859.6668280163933,2.999999999999978,1.000000000000009
596.1848638877357,TARGET,22,2020-12-07 09:15:00,2020-12-07 14:49:00,1831.747947366495,1858.0485733360658,2.9999999999999742,1.0000000000000067
-210.65198524033502,STOP_SAME,0,2020-12-21 10:00:00,2020-12-21 10:02:00,1891.8643094822773,1881.4914205015361,-1.0,0.9999999999999933
-206.43894553552832,STOP_SAME,0,2020-12-21 10:15:00,2020-12-21 10:15:00,1888.143663161949,1876.4444186302449,-1.0,0.9999999999999943
-202.31016662481773,STOP,109,2020-12-21 11:30:00,2020-12-22 15:57:00,1879.4668203996634,1866.5814798728795,-1.0,1.0000000000000062
594.7918898769641,TARGET,12,2020-12-28 11:41:00,2020-12-28 14:38:00,1878.3019976839914,1908.1115372525655,3.0,0.9999999999999947
-210.15980108986062,STOP,2,2021-01-06 12:00:00,2021-01-06 12:43:00,1946.3894885798422,1935.1582578221096,-1.0,1.0000000000000038
-205.9566050680634,STOP,3,2021-01-12 13:26:00,2021-01-12 14:06:00,1847.8930488316264,1836.0739898280203,-1.0,0.9999999999999937
-201.8374729667021,STOP,138,2021-01-12 14:00:00,2021-01-14 02:31:00,1844.559161670504,1831.0560334572872,-1.0,0.9999999999999964
593.4021705221078,TARGET,5,2021-01-20 13:15:00,2021-01-20 14:40:00,1838.3883617390113,1875.5860714923203,3.000000000000018,0.9999999999999928
-209.66876691781022,STOP,121,2021-01-25 15:09:00,2021-01-26 23:20:00,1852.7748048000913,1842.6342045892327,-1.0,1.000000000000007
-205.47539157945403,STOP,24,2021-01-29 14:45:00,2021-01-29 20:59:00,1854.6586075508249,1842.5124376700949,-1.0,1.000000000000009
604.0976512435948,TARGET,37,2021-01-29 20:48:00,2021-02-01 07:12:00,1844.1304924399383,1876.039864742875,3.0,0.9999999999999993
-213.44783677273685,STOP,58,2021-02-01 15:53:00,2021-02-02 07:15:00,1860.5386512591833,1852.5500075057128,-1.0,1.0000000000000044
627.5366401118542,TARGET,10,2021-02-08 08:50:00,2021-02-08 11:26:00,1808.1211600063032,1826.2981448694866,3.0000000000000373,0.9999999999999841
665.18883851855,TARGET,87,2021-02-09 14:45:00,2021-02-10 13:31:00,1837.112196743443,1857.4314426287979,2.9999999999999662,1.00000000000001
-235.03338960989018,STOP,98,2021-02-10 15:44:00,2021-02-11 17:05:00,1836.5122626427435,1828.2670274437082,-1.0,0.9999999999999968
-230.33272181769237,STOP_SAME,0,2021-02-11 17:00:00,2021-02-11 17:05:00,1834.3512896435075,1828.2862163166112,-1.0,0.9999999999999871
-225.7260673813385,STOP_SAME,0,2021-02-16 11:50:00,2021-02-16 11:59:00,1818.353777545277,1813.6068746280112,-1.0,1.0000000000000027
-221.21154603371176,STOP,3,2021-02-16 12:00:00,2021-02-16 12:48:00,1817.521969921818,1812.3524121504156,-1.0,0.9999999999999957
-216.78731511303752,STOP,2,2021-02-18 14:45:00,2021-02-18 15:18:00,1775.9863955420997,1768.47072491315,-1.0,1.0000000000000027
637.3547064323302,TARGET,2,2021-02-18 15:15:00,2021-02-18 15:55:00,1773.8109966549343,1797.8376748828155,2.9999999999999996,0.9999999999999949
-225.19866293942334,STOP,18,2021-02-25 07:10:00,2021-02-25 11:41:00,1789.957380964896,1783.468012870518,-1.0,1.0000000000000115
-220.69468968063492,STOP,20,2021-03-01 12:42:00,2021-03-01 17:39:00,1735.2557829643172,1724.976120947818,-1.0,1.0000000000000036
-216.2807958870222,STOP,8,2021-03-08 07:24:00,2021-03-08 09:23:00,1695.8122761421196,1687.1078434462731,-1.0,1.000000000000012
-211.95517996928177,STOP,25,2021-03-08 09:15:00,2021-03-08 15:43:00,1689.8439052302062,1680.3305134604504,-1.0,1.0000000000000027
-207.71607636989614,STOP,46,2021-03-11 14:22:00,2021-03-12 02:45:00,1723.9741615483606,1716.2097818026086,-1.0,1.0000000000000022
