symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price
GOLD,101.18145355249334,TARGET,1,2013-09-27 18:11:00,2013-09-30 00:37:00,1336.0088707943194,1341.3066336561467
GOLD,67.11267286641545,TARGET_SAME_15M,0,2013-10-04 12:20:00,2013-10-04 12:21:00,1315.5789273188648,1319.4638155308396
GOLD,72.5860457992565,TARGET,5,2013-10-07 18:52:00,2013-10-08 00:59:00,1321.7632150663387,1325.7962809045293
SILVER,141.5657408881167,TARGET,3,2013-10-08 01:00:00,2013-10-08 02:02:00,22.25181681176259,22.383454470675936
GOLD,-238.60923381320515,STOP,3,2013-10-14 15:12:00,2013-10-14 15:57:00,1281.1185572295458,1276.5641417327288
GOLD,-272.3880320525677,STOP,1,2013-10-16 11:47:00,2013-10-16 12:11:00,1279.575231081875,1275.8880941297027
SILVER,104.24366203975819,TARGET,24,2013-10-23 13:12:00,2013-10-24 02:51:00,22.596441676025,22.6913334726024
SILVER,110.15502409756071,TARGET,9,2013-10-24 12:47:00,2013-10-24 15:29:00,22.69580952992991,22.79493357772215
GOLD,85.87469902095691,TARGET,10,2013-10-28 11:24:00,2013-10-28 14:02:00,1349.7082283753848,1354.313749263038
GOLD,-257.42256316022804,STOP,12,2013-10-28 20:27:00,2013-10-29 07:42:00,1352.5868644423763,1348.4144432077053
GOLD,-290.33321014596646,STOP,1,2013-10-30 17:51:00,2013-10-30 18:00:00,1351.7135537068464,1348.217999564076
GOLD,-316.8653240526311,STOP,16,2013-11-06 16:14:00,2013-11-07 08:40:00,1316.3427419271584,1313.3452812474306
GOLD,-263.0224307248809,STOP,3,2013-11-12 15:25:00,2013-11-12 16:00:00,1279.553138807081,1276.3341683738513
GOLD,-235.5627010976645,STOP,3,2013-11-13 14:29:00,2013-11-13 15:12:00,1273.6626185500793,1270.309009270522
GOLD,-221.12446604620462,STOP,10,2013-11-13 15:31:00,2013-11-13 18:04:00,1272.9750298451165,1269.6073219710297
GOLD,49.2022126583189,TARGET,1,2013-11-14 13:17:00,2013-11-14 13:30:00,1281.2578481931666,1285.1015754162108
SILVER,-181.43934520800497,STOP,1,2013-11-14 13:30:00,2013-11-14 13:48:00,20.71864568928945,20.65423908284876
