asset,pnl,exit_reason,entry_time,exit_time,entry_price,exit_price,r_multiple,risk_used
SILVER,-87.81697352109774,STOP,2020-01-06 05:37:00,2020-01-06 07:47:00,18.422689666521517,18.285726186824114,-1.463616225351629,60.0
US500,-119.05275550359956,STOP,2020-01-07 06:02:00,2020-01-07 07:31:00,3248.9794457842804,3241.488723750698,-3.2927997689186315,58.24366052957805
GOLD,55.243630417476055,TARGET,2020-01-06 04:30:00,2020-01-07 23:24:00,1578.7800226836414,1619.120459992287,0.9207271736246009,60.0
SILVER,-72.11389333794347,STOP,2020-01-08 01:45:00,2020-01-08 12:58:00,18.56423703079991,18.338046107967326,-1.2658782841445375,56.96747802785558
US500,11.120521054891555,TARGET,2020-01-08 13:53:00,2020-01-08 14:54:00,3238.3601589660443,3246.4690214891602,0.20027881074948486,55.52520016109671
US500,13.649672155796814,TARGET,2020-01-08 15:44:00,2020-01-08 16:29:00,3240.9009662387853,3249.495784039449,0.244847662765235,55.74761058219454
US500,12.856936840396596,TARGET,2020-01-08 20:49:00,2020-01-08 23:53:00,3257.2612761982205,3265.7272333373317,0.22950371678584094,56.020604025310476
GOLD,-62.919804655418325,STOP,2020-01-08 01:45:00,2020-01-09 06:37:00,1593.3002804788186,1546.8789635159253,-1.1044863987949796,56.96747802785558
US500,0.5959167782273092,TARGET,2020-01-09 03:02:00,2020-01-09 07:13:00,3261.9932359367235,3268.5937143869505,0.010588853585443227,56.27774276211841
US500,-16.404115037210236,TARGET,2020-01-09 10:54:00,2020-01-09 13:45:00,3268.9397243046187,3273.430665114766,-0.456792833839442,55.03126500457458
US500,-14.165040799760426,TARGET,2020-01-09 14:14:00,2020-01-09 15:50:00,3269.933565437127,3274.6956083516657,-0.37433225429530054,54.70318270383037
US500,-122.43194091743958,STOP,2020-01-09 16:26:00,2020-01-09 17:40:00,3270.5438628129964,3261.585561008214,-2.720745319203293,54.41988188783517
GOLD,43.183460556418424,TARGET,2020-01-10 04:30:00,2020-01-10 07:59:00,1549.7416332164837,1568.181133939537,0.8309106730174118,51.97124306948638
US500,-98.03950466026498,STOP,2020-01-10 07:34:00,2020-01-10 08:39:00,3282.787306546698,3276.309118568062,-4.075935526054314,51.97124306948638
GOLD,44.12311511927261,TARGET,2020-01-10 08:07:00,2020-01-10 12:04:00,1551.3767287675864,1570.3089867035778,0.8351128678879531,52.834912280614745
GOLD,45.025333559362245,TARGET_SAME,2020-01-13 00:00:00,2020-01-13 00:09:00,1560.8453651410393,1585.034029980765,0.8699440661166523,51.7565844897949
SILVER,25.59916123375393,TARGET,2020-01-12 23:00:00,2020-01-13 03:18:00,18.100865747966726,18.172638593242805,0.49460685024146905,51.7565844897949
SILVER,-97.71776438136177,STOP,2020-01-13 04:13:00,2020-01-13 07:06:00,18.073891124093798,17.991343492716634,-1.8378684509828878,53.169074385657225
US500,-104.32313047696343,STOP,2020-01-14 03:00:00,2020-01-14 07:22:00,3291.145582182816,3283.606685873377,-3.319294335810819,51.214719098029995
SILVER,-86.67371579965926,STOP_SAME,2020-01-15 03:43:00,2020-01-15 03:43:00,17.828157830466424,17.740620832536493,-1.7642334980880974,49.12825648849073
SILVER,29.926359048454742,TARGET,2020-01-15 08:28:00,2020-01-15 08:55:00,17.854191660515223,17.951338109968194,0.6314272938218197,47.394782172497536
US500,-13.522673138246663,TARGET,2020-01-15 08:12:00,2020-01-15 11:46:00,3282.6889737912575,3287.2871259020594,-0.4288296562132371,47.394782172497536
SILVER,-86.04139192405114,STOP,2020-01-15 12:01:00,2020-01-15 13:13:00,17.860229650007987,17.77589315204649,-1.802938871074885,47.722855890701695
US500,-96.10920393278123,STOP,2020-01-15 12:34:00,2020-01-15 13:50:00,3284.735273772995,3277.370772850003,-3.41016655339246,47.722855890701695
SILVER,22.79372247396219,TARGET,2020-01-16 01:01:00,2020-01-16 02:05:00,18.00547835172899,18.08020550736502,0.5171007975353028,44.07984397356504
SILVER,21.78011253890124,TARGET_SAME,2020-01-16 02:02:00,2020-01-16 02:05:00,18.00810544833132,18.078732143394763,0.48904819120716087,44.53571842304428
US500,-3.2856653705524863,TARGET,2020-01-16 01:36:00,2020-01-16 08:00:00,3294.6633550744828,3300.741748065172,-0.08505736849234989,44.07984397356504
US500,-17.52193424998951,TARGET,2020-01-16 12:56:00,2020-01-16 14:29:00,3302.933617331887,3306.830144240983,-0.6963218568164705,44.90560736641126
SILVER,-97.79681767290514,STOP,2020-01-16 13:29:00,2020-01-16 14:37:00,17.984204630138663,17.92055223493566,-2.1778308636363244,44.90560736641126
SILVER,20.439924476147638,TARGET,2020-01-17 01:18:00,2020-01-17 03:15:00,17.94665062428523,18.015785101083395,0.4798190802780049,42.59923232795337
US500,-23.043197406808787,TARGET,2020-01-17 06:36:00,2020-01-17 07:58:00,3318.0434593201767,3320.9397716330564,-1.2922193858135393,43.00803081747632
SILVER,14.670970121766713,TARGET,2020-01-17 08:35:00,2020-01-17 10:37:00,18.024589599982665,18.079695217321003,0.3448166165051695,42.547166869340145
US500,-19.056343682705315,TARGET,2020-01-17 11:27:00,2020-01-17 13:33:00,3322.535466938907,3326.0726439579835,-0.879636805011532,42.840586271775486
SILVER,18.240791184020832,TARGET_SAME,2020-01-17 13:41:00,2020-01-17 13:43:00,18.071434755530642,18.13491065930476,0.42960488528565427,42.45945939812138
SILVER,-77.2355815534894,STOP,2020-01-17 13:45:00,2020-01-17 14:05:00,18.07766795957331,17.992355485136912,-1.8035467302939627,42.8242752218018
GOLD,46.098645359638276,TARGET,2020-01-13 01:15:00,2020-01-17 18:48:00,1560.2344792277222,1585.4911891717782,0.8754499031992949,52.65709116098215
GOLD,36.693195937520095,TARGET,2020-01-20 01:00:00,2020-01-20 04:25:00,1558.8646015825377,1582.9351497670182,0.8694753552237238,42.201536497924785
GOLD,36.91994673948609,TARGET,2020-01-20 05:15:00,2020-01-20 05:43:00,1560.0454950103724,1582.4752892420604,0.8598952468403481,42.935400416675186
GOLD,37.80165117186144,TARGET,2020-01-20 06:51:00,2020-01-20 07:43:00,1561.1546374696509,1584.550658433377,0.8655452864920828,43.67379935146491
GOLD,38.08903684888091,TARGET_SAME,2020-01-20 07:30:00,2020-01-20 07:43:00,1561.6504413746436,1583.6897798484183,0.8572851800898744,44.42983237490213
US500,-92.31621236051609,STOP,2020-01-19 23:00:00,2020-01-20 08:35:00,3324.4705958374175,3315.800746969356,-2.861314824085104,42.201536497924785
GOLD,39.19261698844482,TARGET,2020-01-20 07:57:00,2020-01-20 08:31:00,1561.6731285224032,1585.3805000724892,0.8672542157638107,45.191613111879754
