asset,pnl,exit_reason,entry_time,exit_time,entry_price,exit_price,r_multiple,risk_used
GOLD,55.243630417476055,TARGET,2020-01-06 04:30:00,2020-01-07 23:24:00,1578.7800226836414,1619.120459992287,0.9207271736246009,60.0
GOLD,-67.48950069602195,STOP,2020-01-08 01:45:00,2020-01-09 06:37:00,1593.3002804788186,1546.8789635159253,-1.1044863987949796,61.104872608349524
GOLD,49.6511358947481,TARGET,2020-01-10 04:30:00,2020-01-10 07:59:00,1549.7416332164837,1568.181133939537,0.8309106730174118,59.75508259442909
GOLD,50.73152444613433,TARGET,2020-01-10 08:07:00,2020-01-10 12:04:00,1551.3767287675864,1570.3089867035778,0.835112867887953,60.74810531232405
GOLD,52.68915873398404,TARGET,2020-01-10 13:15:00,2020-01-10 13:30:00,1550.5953370745353,1571.849438993621,0.8530897806006914,61.762735801246734
GOLD,53.947887855999,TARGET_SAME,2020-01-10 13:30:00,2020-01-10 13:30:00,1550.523033704123,1572.6444305272544,0.8588168961841677,62.81651897592642
GOLD,55.955686201962465,TARGET,2020-01-10 13:51:00,2020-01-10 14:04:00,1550.9663942764755,1576.1317212584504,0.8757378309538848,63.8954767330464
GOLD,57.09080774184193,TARGET_SAME,2020-01-10 14:00:00,2020-01-10 14:04:00,1551.2785402513414,1576.9456008842176,0.8781230080888691,65.01459045708565
GOLD,59.07542451786479,TARGET,2020-01-10 19:03:00,2020-01-20 04:44:00,1558.908869255459,1588.3128241420268,0.8929660412846306,66.15640661192249
GOLD,57.903553128589266,TARGET,2020-01-20 05:15:00,2020-01-20 05:43:00,1560.0454950103724,1582.4752892420604,0.8598952468403479,67.33791510227978
GOLD,59.2863779686142,TARGET,2020-01-20 06:51:00,2020-01-20 07:43:00,1561.1546374696509,1584.550658433377,0.8655452864920828,68.49598616485157
GOLD,59.737100499042306,TARGET_SAME,2020-01-20 07:30:00,2020-01-20 07:43:00,1561.6504413746436,1583.6897798484183,0.8572851800898742,69.68171372422385
GOLD,61.46790503388614,TARGET,2020-01-20 07:57:00,2020-01-20 08:31:00,1561.6731285224032,1585.3805000724892,0.8672542157638107,70.8764557342047
GOLD,62.16880808853011,TARGET_SAME,2020-01-20 08:30:00,2020-01-20 08:31:00,1561.4482558395214,1584.2745385222763,0.8621885640302541,72.10581383488243
GOLD,63.667984093048446,TARGET,2020-01-20 10:15:00,2020-01-20 11:00:00,1561.4116653461504,1585.2522125812595,0.8680120952385931,73.34918999665302
GOLD,63.935732539166644,TARGET,2020-01-20 13:15:00,2020-01-20 16:01:00,1560.3220878484892,1582.2657511560408,0.8567883677871115,74.62254967851399
GOLD,64.4121541518488,TARGET,2020-01-20 23:00:00,2020-01-21 00:03:00,1561.9707119635405,1582.7458599146287,0.8486308458894299,75.90126432929732
GOLD,67.27585831101364,TARGET_SAME,2020-01-21 03:05:00,2020-01-21 03:13:00,1566.1176586860806,1590.6972036879433,0.8715674003674684,77.1895074123343
GOLD,69.00991329038928,TARGET,2020-01-21 03:15:00,2020-01-22 20:25:00,1566.143326078255,1592.1838938300248,0.8787151167357462,78.53502457855457
GOLD,71.3102218640613,TARGET_SAME,2020-01-22 20:15:00,2020-01-22 20:25:00,1557.71495199083,1586.91938255212,0.8923233812779378,79.91522284436235
GOLD,73.17241757264335,TARGET,2020-01-22 20:37:00,2020-01-24 14:45:00,1557.759047264391,1589.0932562976166,0.8995713502700765,81.34142728164358
GOLD,75.37709237677883,TARGET,2020-01-24 17:44:00,2020-01-26 23:01:00,1570.3598275122424,1605.7672701150193,0.9102977548178481,82.80487563309644
GOLD,76.93047763804346,TARGET,2020-01-27 00:17:00,2020-01-30 07:39:00,1577.8467811871521,1614.3057749905952,0.9124454017193339,84.312417480632
GOLD,75.24841958035809,TARGET_SAME,2020-01-30 07:30:00,2020-01-30 07:39:00,1582.9218359472693,1608.7654439619366,0.87649993460287,85.85102703339288
GOLD,77.47353910279458,TARGET,2020-01-30 07:46:00,2020-01-30 13:30:00,1582.7743963156993,1611.0058239296332,0.8868714588606559,87.35599542500005
GOLD,76.68529931626173,TARGET_SAME,2020-01-30 13:30:00,2020-01-30 13:30:00,1584.5760705500236,1607.801598277465,0.8625487564247839,88.90546620705592
GOLD,79.70155421698321,TARGET,2020-01-30 14:15:00,2020-01-30 15:40:00,1584.4084677310468,1611.325004566362,0.8812724871758192,90.43917219338117
GOLD,83.3592630887128,TARGET,2020-01-30 15:46:00,2020-01-30 17:40:00,1583.7672515544464,1617.7361989339206,0.9057520559962102,92.03320327772083
GOLD,85.55413368224458,TARGET,2020-01-30 17:30:00,2020-01-31 16:09:00,1583.8858563177002,1620.746388144177,0.9130606074934597,93.70038853949507
GOLD,85.79595484221623,TARGET,2020-01-31 16:32:00,2020-01-31 17:35:00,1587.8445439428385,1619.6716268565885,0.8992205418419384,95.41147121313996
GOLD,87.58668889904794,TARGET,2020-01-31 17:30:00,2020-01-31 20:07:00,1589.1953103905732,1621.8851358430907,0.9017712575156507,97.12739030998428
