asset,pnl,exit_reason,entry_time,exit_time,entry_price,exit_price,r_multiple,risk_used
SILVER,9.240452862518293,TARGET_SAME,2020-01-16 14:45:00,2020-01-16 14:47:00,17.97951873525024,18.039670596657842,0.40119576536734114,23.032279151943662
US500,-11.047058327020604,TARGET,2020-01-16 14:47:00,2020-01-16 15:11:00,3303.9184524628517,3308.3931325586755,-0.4777171648969711,23.124683680568847
US500,-8.35911699611446,TARGET_SAME,2020-01-16 15:04:00,2020-01-16 15:11:00,3304.0167749662287,3308.867721057261,-0.3632154165243059,23.01421309729864
US500,-5.911722046231283,TARGET,2020-01-16 15:20:00,2020-01-16 18:40:00,3304.4016136056625,3309.660012392143,-0.25780905833973167,22.930621927337494
US500,-8.951425081810573,TARGET,2020-01-16 19:46:00,2020-01-16 20:18:00,3307.2943963851617,3312.0517964300575,-0.3913789318426335,22.871504706875182
SILVER,-35.89933949886447,STOP,2020-01-16 17:33:00,2020-01-17 01:01:00,17.99633105534833,17.883337173405444,-1.5655632722314388,22.930621927337494
SILVER,10.758981826918259,TARGET,2020-01-17 01:18:00,2020-01-17 03:15:00,17.94665062428523,18.015785101083395,0.47981908027800474,22.422997061068433
US500,-24.14324726259566,TARGET,2020-01-17 06:36:00,2020-01-17 07:58:00,3318.0434593201767,3320.9397716330564,-1.292219385813539,22.530586879337616
SILVER,7.685670807283602,TARGET,2020-01-17 08:35:00,2020-01-17 10:37:00,18.024589599982665,18.079695217321003,0.3448166165051694,22.28915440671166
US500,-19.673966557861448,TARGET,2020-01-17 11:27:00,2020-01-17 13:33:00,3322.535466938907,3326.0726439579835,-0.8796368050115321,22.366011114784495
SILVER,9.524027317802622,TARGET_SAME,2020-01-17 13:41:00,2020-01-17 13:43:00,18.071434755530642,18.13491065930476,0.42960488528565427,22.16927144920588
SILVER,-40.155087318497095,STOP,2020-01-17 13:45:00,2020-01-17 14:05:00,18.07766795957331,17.992355485136912,-1.8035467302939625,22.264511722383908
GOLD,47.74177976420426,TARGET,2020-01-13 01:15:00,2020-01-17 18:48:00,1560.2344792277222,1585.4911891717782,0.8754499031992949,54.53399399524053
GOLD,38.84881731958911,TARGET,2020-01-20 01:00:00,2020-01-20 04:25:00,1558.8646015825377,1582.9351497670182,0.8694753552237237,44.680757293681964
GOLD,39.088889089234016,TARGET,2020-01-20 05:15:00,2020-01-20 05:43:00,1560.0454950103724,1582.4752892420604,0.859895246840348,45.45773364007375
GOLD,40.022391160886386,TARGET,2020-01-20 06:51:00,2020-01-20 07:43:00,1561.1546374696509,1584.550658433377,0.8655452864920828,46.239511421858424
GOLD,40.326659932835454,TARGET_SAME,2020-01-20 07:30:00,2020-01-20 07:43:00,1561.6504413746436,1583.6897798484183,0.8572851800898742,47.039959245076155
US500,-63.922856597880404,STOP,2020-01-19 23:00:00,2020-01-20 08:35:00,3324.4705958374175,3315.800746969356,-2.8613148240851034,22.340378646840982
GOLD,41.495072281338636,TARGET,2020-01-20 07:57:00,2020-01-20 08:31:00,1561.6731285224032,1585.3805000724892,0.8672542157638107,47.84649244373286
GOLD,40.865959030861255,TARGET_SAME,2020-01-20 08:30:00,2020-01-20 08:31:00,1561.4482558395214,1584.2745385222763,0.8621885640302542,47.39793675740202
GOLD,41.85142532922511,TARGET,2020-01-20 10:15:00,2020-01-20 11:00:00,1561.4116653461504,1585.2522125812595,0.868012095238593,48.21525593801925
SILVER,-55.09559284347924,STOP,2020-01-20 08:07:00,2020-01-20 13:00:00,18.07472509064903,18.015155103431454,-2.303014914134877,23.92324622186643
SILVER,3.632152854857777,TARGET,2020-01-21 00:30:00,2020-01-21 01:07:00,18.069377759670477,18.11201917470205,0.15149633501646206,23.975186293867083
SILVER,2.5275819400877175,TARGET_SAME,2020-01-21 01:00:00,2020-01-21 01:07:00,18.06857666088469,18.109010537950684,0.1052654401706553,24.011507822415663
SILVER,4.945216987553369,TARGET,2020-01-21 02:10:00,2020-01-21 02:38:00,18.081632170538004,18.12722006611999,0.20573538711519737,24.036783641816537
GOLD,41.985555862068566,TARGET_SAME,2020-01-21 03:05:00,2020-01-21 03:13:00,1566.1176586860806,1590.6972036879433,0.8715674003674685,48.17247162338415
SILVER,7.6819957168425095,TARGET,2020-01-21 05:40:00,2020-01-21 07:15:00,18.115531663484308,18.16838305875514,0.3134729076440422,24.506091370312756
US500,-1.1281038120511688,TARGET,2020-01-21 19:15:00,2020-01-22 02:27:00,3322.324656754373,3328.683843714438,-0.04588975638495933,24.582911327481185
US500,-95.08572038738345,STOP,2020-01-22 08:00:00,2020-01-22 09:15:00,3333.4223472468757,3326.6112582772544,-3.869735921777841,24.571630289360673
GOLD,43.06774587840247,TARGET,2020-01-21 03:15:00,2020-01-22 20:25:00,1566.143326078255,1592.1838938300248,0.8787151167357461,49.01218274062551
SILVER,16.73178189928391,TARGET,2020-01-23 15:34:00,2020-01-23 16:13:00,17.722022319422106,17.838870649590724,0.6956662288823772,24.051450544270864
US500,3.1405353604239945,TARGET,2020-01-23 18:15:00,2020-01-23 18:53:00,3311.4359361460615,3319.054331288588,0.12967361978603847,24.218768363263703
US500,-0.945757691689515,TARGET,2020-01-24 01:47:00,2020-01-24 08:04:00,3325.3206149714965,3331.7277835531268,-0.039000037803096826,24.250173716867945
SILVER,16.26501115371361,TARGET,2020-01-23 18:58:00,2020-01-24 13:29:00,17.795935825205124,17.904354185841285,0.6707173046929551,24.250173716867945
US500,-83.76205997428886,STOP,2020-01-24 10:03:00,2020-01-24 14:34:00,3331.6526907249954,3324.2592152404336,-3.4554284407563713,24.24071613995105
SILVER,14.13692683845127,TARGET,2020-01-24 14:27:00,2020-01-24 14:45:00,17.851484350410605,17.93655265299142,0.5793023262759563,24.403366251488187
GOLD,43.35837020447444,TARGET,2020-01-23 00:49:00,2020-01-24 15:10:00,1560.4022444054947,1592.3669099313008,0.9013670531984307,48.10290108854173
SILVER,14.01706825785752,TARGET,2020-01-27 03:59:00,2020-01-27 10:34:00,18.21546347596556,18.3025439183626,0.5806405389188727,24.140698622174554
SILVER,15.798966268322634,TARGET,2020-01-27 12:19:00,2020-01-27 14:22:00,18.256558392813353,18.361383389610566,0.6506754791200944,24.28086930475313
SILVER,-36.51114190468122,STOP,2020-01-27 16:04:00,2020-01-27 17:30:00,18.22895630297001,18.100613647856818,-1.4939789927725604,24.438858967436353
US500,4.236213581302787,TARGET,2020-01-28 14:31:00,2020-01-28 15:08:00,3255.927623342019,3263.839656754827,0.17596818163801736,24.073747548389544
US500,6.034099948334207,TARGET,2020-01-28 20:51:00,2020-01-29 01:39:00,3276.567458055829,3285.319094524834,0.250210337709937,24.11610968420257
US500,-5.217061671122787,TARGET,2020-01-29 06:28:00,2020-01-29 11:59:00,3285.774470707166,3291.1840832845896,-0.2157910497028921,24.176450683685914
