pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
-242.5258398853923,STOP,9,2020-04-08 14:24:00,2020-04-08 16:42:00,1681.0926897279583,1674.7435129363482,-2.0769351557679254
-236.29275585109002,STOP_SAME,0,2020-04-08 16:42:00,2020-04-08 16:42:00,1681.9283893343331,1675.7200384920861,-2.1112552728378153
242.97850552326918,TARGET,40,2020-04-08 20:00:00,2020-04-09 07:10:00,1680.2198924273387,1694.0243152430985,2.266703667504612
-181.98915370765866,STOP_SAME,0,2020-04-09 18:11:00,2020-04-09 18:11:00,1727.1695061026137,1717.177730243324,-1.6241169148200114
-193.91857232377183,STOP,4,2020-04-13 01:40:00,2020-04-13 02:40:00,1730.6739342585279,1722.385465498023,-1.7886785028947214
-226.9685694725656,STOP,3,2020-04-13 12:38:00,2020-04-13 13:15:00,1736.9244051339767,1730.7518879607894,-2.1711987047545036
-203.1638223369355,STOP_SAME,0,2020-04-14 00:31:00,2020-04-14 00:31:00,1760.3377741076097,1753.4754228755921,-2.0317053943676484
-199.08825049943272,STOP,2,2020-04-14 08:54:00,2020-04-14 09:16:00,1765.4771442947251,1758.8017093556796,-2.0752752884753587
-187.73663926522943,STOP_SAME,0,2020-04-14 09:30:00,2020-04-14 09:32:00,1763.5332374740024,1756.707320234754,-2.041688586945845
-179.20451689495425,STOP,6,2020-04-14 09:47:00,2020-04-14 11:17:00,1763.0138201441882,1756.1418415223584,-2.031868206605734
-170.4586698382521,STOP_SAME,0,2020-04-15 22:00:00,2020-04-15 22:00:00,1739.7783766437497,1732.9111888203056,-2.0145723915153813
190.33338853762285,TARGET,30,2020-04-15 22:47:00,2020-04-16 06:18:00,1739.2213587752008,1755.1995483381152,2.343901718022371
-192.10696585447607,STOP,3,2020-04-16 12:42:00,2020-04-16 13:20:00,1754.0247741809808,1748.106037913946,-2.2598074868330356
-161.47994969260728,STOP_SAME,0,2020-04-16 13:20:00,2020-04-16 13:20:00,1751.8299102972228,1744.78432313324,-1.9894488340362615
189.13503965168218,TARGET,49,2020-04-20 18:16:00,2020-04-21 07:30:00,1702.0149885861128,1719.9221054260006,2.42671891997888
-146.23739601538026,STOP,1,2020-04-22 12:00:00,2020-04-22 12:19:00,1711.416468086699,1703.226671953721,-1.7894651800929742
-139.24623847609365,STOP_SAME,0,2020-04-22 12:18:00,2020-04-22 12:19:00,1710.83059016625,1702.455808894437,-1.7671618782587766
186.88698398747133,TARGET,4,2020-04-23 13:11:00,2020-04-23 14:04:00,1742.9529709894716,1762.3789600455852,2.4586635582502994
-137.97661650193032,STOP,1,2020-04-24 13:50:00,2020-04-24 14:02:00,1747.8786984777753,1738.978175707396,-1.7301283470169988
-134.46804000513063,STOP,21,2020-04-29 07:55:00,2020-04-29 13:14:00,1717.31607070398,1708.7255244689848,-1.7465690738403798
-123.21419265245714,STOP_SAME,0,2020-04-30 12:37:00,2020-04-30 12:42:00,1722.1492003450705,1712.6133519588202,-1.6583234162622131
-112.29685015100236,STOP_SAME,0,2020-04-30 12:45:00,2020-04-30 12:45:00,1719.911574466612,1709.0753436655355,-1.563235352694954
-107.52011576144061,STOP_SAME,0,2020-04-30 13:00:00,2020-04-30 13:09:00,1719.0549358694582,1707.9211326683094,-1.545045930124535
-103.08204596761236,STOP,10,2020-04-30 13:15:00,2020-04-30 15:58:00,1717.2730437361463,1705.8575148403945,-1.5285037867704059
174.32355484788184,TARGET,134,2020-05-04 12:35:00,2020-05-06 00:05:00,1705.0642702383902,1736.0079344909677,2.666386743020281
