symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
SILVER,109.3345747515479,TARGET,5,2020-05-20 12:40:00,2020-05-20 13:47:00,17.896351302174097,18.157470800282955,2.5857779021071807
SILVER,108.84087492539861,TARGET,1,2020-05-26 06:40:00,2020-05-26 06:59:00,17.872095950809623,18.067251132137304,2.4475266271932172
SILVER,-80.60783629397038,STOP,11,2020-05-26 07:06:00,2020-05-26 09:45:00,17.876274641010244,17.785037616836874,-1.7280553825157372
SILVER,-81.02391313200617,STOP_SAME,0,2020-05-26 09:45:00,2020-05-26 09:45:00,17.84970474260157,17.765104241228446,-1.7991559817831337
SILVER,101.64947773294645,TARGET_SAME,0,2020-05-28 11:54:00,2020-05-28 11:54:00,17.83278638216099,17.99599132416025,2.3414027063013187
SILVER,114.7531234706874,TARGET,1,2020-05-28 12:45:00,2020-05-28 13:03:00,17.827254134887287,18.053868267676574,2.524992700663555
GOLD,132.25804586169053,TARGET,9,2020-05-29 13:19:00,2020-05-29 15:41:00,1725.3687362951543,1771.027013141727,2.7702675621430495
SILVER,-78.5346704857199,STOP,2,2020-06-01 08:29:00,2020-06-01 08:46:00,18.73711349333401,18.618244436151638,-1.5586253991175818
SILVER,-76.8162405729491,STOP_SAME,0,2020-06-01 13:03:00,2020-06-01 13:09:00,18.602506790623828,18.48707344257537,-1.5735730824402625
SILVER,110.58813815602856,TARGET_SAME,0,2020-06-02 06:19:00,2020-06-02 06:28:00,18.695660206865064,18.866137033125362,2.3389987707306887
GOLD,-66.36737410300883,STOP,6,2020-06-02 15:28:00,2020-06-02 16:58:00,1736.6384778771296,1719.7316781622706,-1.340974982614938
SILVER,134.69945585110605,TARGET,4,2020-06-10 17:00:00,2020-06-10 18:14:00,17.778608771836033,18.31104155230031,2.79665235698298
SILVER,139.12259516395002,TARGET,11,2020-06-11 05:52:00,2020-06-11 08:39:00,18.009647880043627,18.422843408715167,2.735482438017475
SILVER,-85.44191491577529,STOP,6,2020-06-29 05:32:00,2020-06-29 07:14:00,18.116487751996914,18.007125915333848,-1.5928479272047011
SILVER,-83.4531840219523,STOP_SAME,0,2020-06-29 07:14:00,2020-06-29 07:14:00,18.106843841915495,17.999654521573053,-1.6069661342023847
SILVER,-131.2737419606816,STOP_SAME,0,2020-06-30 11:55:00,2020-06-30 11:55:00,18.068832630804145,18.017217813280837,-2.6117333379889565
SILVER,100.19043618181108,TARGET,6,2020-06-30 12:00:00,2020-06-30 13:35:00,18.055428682185074,18.176630440887415,2.1031798669179054
