symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,pullback_candles,stop_ticks,r_multiple
GOLD,-325.4124461189479,STOP,6,2014-12-03 15:28:00,2014-12-03 17:09:00,1211.2099999999998,1205.793,2,42.09999999999809,-1.860808313539257
SILVER,216.42019241618243,TARGET,2,2014-12-09 12:31:00,2014-12-09 13:00:00,16.596579999999996,16.689739999999986,2,9.315999999999036,1.2853945899526957
GOLD,-471.7718049117638,STOP_SAME_15M,0,2014-12-09 20:01:00,2014-12-09 20:14:00,1231.6304,1228.2705,2,21.304000000000087,-2.7317878802102427
GOLD,-491.2847925817871,STOP,1,2015-01-09 15:11:00,2015-01-09 15:15:00,1219.1178999999997,1216.0827,2,18.178999999997814,-3.0091867539471155
GOLD,73.41861838580284,TARGET_SAME_15M,0,2015-01-15 16:02:00,2015-01-15 16:10:00,1260.9596999999997,1264.279099999999,4,16.596999999997024,0.47849683677745874
GOLD,-417.6530769759103,STOP,8,2015-01-22 19:46:00,2015-01-22 23:01:00,1303.8024999999998,1300.1985,2,23.024999999997817,-2.696200217155441
GOLD,-481.88429157534546,STOP_SAME_15M,0,2015-01-27 13:56:00,2015-01-27 13:57:00,1288.1869,1285.2135,2,16.868999999999232,-3.2881619538799622
GOLD,-384.63421446895217,STOP_SAME_15M,0,2015-02-26 13:50:00,2015-02-26 13:50:00,1218.2169999999999,1214.9838,3,20.169999999998254,-2.8093211700547283
GOLD,-240.83742409497358,STOP_SAME_15M,0,2015-03-19 01:00:00,2015-03-19 01:10:00,1176.4752999999998,1171.2276000000002,2,40.75299999999743,-1.8637653424288143
GOLD,-443.03695240574336,STOP,1,2015-03-19 15:29:00,2015-03-19 15:30:00,1169.6684999999998,1167.1317,2,13.684999999998126,-3.5612716112535803
GOLD,-358.8180869116499,STOP_SAME_15M,0,2015-03-20 13:50:00,2015-03-20 13:52:00,1179.1779999999999,1176.3225,2,16.779999999998836,-3.1054830154947877
GOLD,123.33951034387877,TARGET,2,2015-03-26 07:38:00,2015-03-26 08:04:00,1205.7044999999998,1211.3134999999993,2,28.044999999997344,1.1381643786770448
GOLD,64.7568697348649,TARGET,6,2015-04-15 17:26:00,2015-04-15 19:22:00,1202.8015999999998,1206.2047999999995,2,17.015999999998712,0.5842698636576268
GOLD,-287.8005075814266,STOP,1,2015-04-28 12:51:00,2015-04-28 13:00:00,1205.1039,1201.5972,3,23.039000000001124,-2.5666917400928204
GOLD,-192.06237091556412,STOP,1,2015-04-28 14:14:00,2015-04-28 14:17:00,1215.6144,1209.8889,2,45.14400000000023,-1.8055562865497008
GOLD,-306.98821159771956,STOP,1,2015-05-08 13:28:00,2015-05-08 13:33:00,1191.7905999999998,1188.81,2,17.90599999999813,-2.994080531665602
GOLD,-225.71334497741336,STOP,1,2015-05-22 07:49:00,2015-05-22 08:00:00,1216.5152999999998,1212.5862,2,27.15299999999843,-2.3416202629544443
GOLD,-256.5404214642553,STOP,1,2015-06-10 14:41:00,2015-06-10 14:45:00,1189.5883999999999,1186.4124,3,19.88399999999956,-2.7921951317642595
GOLD,-178.66747540697446,STOP_SAME_15M,0,2015-06-18 13:57:00,2015-06-18 13:59:00,1204.9036999999998,1200.2985,2,34.03699999999844,-2.0596416252901437
GOLD,-201.67251072429906,STOP,1,2015-06-26 09:00:00,2015-06-26 09:26:00,1178.5774,1174.9239,2,24.773999999999887,-2.424719988697797
GOLD,-232.3474729699252,STOP_SAME_15M,0,2015-07-24 17:59:00,2015-07-24 17:59:00,1093.7927,1091.0078999999998,2,16.92700000000059,-2.935901577361587
GOLD,-191.32541130828866,STOP_SAME_15M,0,2015-07-27 15:26:00,2015-07-27 15:27:00,1097.9968999999999,1094.8041,3,20.968999999997777,-2.568363298202288
GOLD,-199.97420019023656,STOP,1,2015-08-07 15:40:00,2015-08-07 16:00:00,1096.8957999999998,1094.0049,3,17.95799999999872,-2.8298255373650942
GOLD,41.14945577804273,TARGET,3,2015-08-12 06:04:00,2015-08-12 06:51:00,1112.4112999999998,1115.6338999999994,2,16.11299999999801,0.6172375100848542
GOLD,-199.2060722316872,STOP_SAME_15M,0,2015-08-12 12:31:00,2015-08-12 12:40:00,1119.2180999999998,1116.3825,2,17.18099999999822,-2.9516329666494445
GOLD,-204.1136843221619,STOP,1,2015-08-19 18:37:00,2015-08-19 18:46:00,1129.0279,1126.3725,3,15.279000000000451,-3.2140849532037143
GOLD,-169.26386166949538,STOP,2,2015-09-08 15:25:00,2015-09-08 15:54:00,1125.9247999999998,1122.9759,3,18.247999999998683,-2.8484221284525657
GOLD,-154.69934739360306,STOP_SAME_15M,0,2015-09-18 15:00:00,2015-09-18 15:02:00,1138.8376999999998,1135.7631000000001,3,19.376999999997224,-2.7605928678332337
GOLD,-171.22954786319394,STOP,1,2015-10-22 15:05:00,2015-10-22 15:24:00,1169.0679,1166.3325,3,15.679000000000087,-3.234135085145736
GOLD,-144.65321681693615,STOP_SAME_15M,0,2015-11-18 19:22:00,2015-11-18 19:23:00,1070.5694999999998,1067.8311,2,16.694999999997435,-2.921114465409091
GOLD,-164.61411866719942,STOP_SAME_15M,0,2015-11-24 13:12:00,2015-11-24 13:13:00,1079.7786999999996,1077.4215,3,12.78699999999617,-3.530460780480993
GOLD,34.3513946355646,TARGET,8,2015-12-03 17:40:00,2015-12-03 20:00:00,1060.059,1063.577,2,17.590000000000146,0.7927026719727217
GOLD,37.43857495008836,TARGET,11,2015-12-08 18:36:00,2015-12-09 10:15:00,1075.4744,1079.2232000000004,3,18.744000000001506,0.8504600938968058
GOLD,-149.9229698411914,STOP_SAME_15M,0,2015-12-09 13:53:00,2015-12-09 13:54:00,1083.8827999999999,1081.4175,2,13.82799999999861,-3.348712973676821
GOLD,30.125333185446046,TARGET,1,2015-12-18 13:40:00,2015-12-18 13:55:00,1057.4564,1060.7692000000002,3,16.56400000000076,0.7211871528616861
GOLD,-88.7333171486427,STOP_SAME_15M,0,2016-01-06 14:30:00,2016-01-06 14:37:00,1093.6925999999999,1089.6093,3,29.925999999998112,-2.0940325803649595
GOLD,-129.67489548434014,STOP,1,2016-01-06 14:58:00,2016-01-06 15:08:00,1090.8898,1088.3106,2,14.89799999999832,-3.193986038394709
