pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,risk_used
5.524363041747605,TARGET,163,2020-01-06 04:30:00,2020-01-07 23:24:00,1578.7800226836414,1619.120459992287,0.9207271736246009,6.0
-6.748950069602195,STOP,111,2020-01-08 01:45:00,2020-01-09 06:37:00,1593.3002804788186,1546.8789635159253,-1.1044863987949796,6.110487260834953
5.082504378787062,TARGET,26,2020-01-10 01:15:00,2020-01-10 07:59:00,1552.6623571391845,1573.5815228117456,0.8505559959281022,5.9755082594429085
5.075113135787957,TARGET,16,2020-01-10 08:07:00,2020-01-10 12:04:00,1551.3767287675864,1570.3089867035778,0.8351128678879531,6.07715834701865
5.238766644598813,TARGET,6,2020-01-10 12:12:00,2020-01-10 13:30:00,1550.8033123119103,1571.3275284038655,0.8478806290711608,6.178660609734409
5.3963209536184324,TARGET_SAME,0,2020-01-10 13:30:00,2020-01-10 13:30:00,1550.523033704123,1572.6444305272544,0.8588168961841678,6.283435942626385
5.597157811474366,TARGET,1,2020-01-10 13:51:00,2020-01-10 14:04:00,1550.9663942764755,1576.1317212584504,0.875737830953885,6.391362361698754
5.710702203924088,TARGET_SAME,0,2020-01-10 14:00:00,2020-01-10 14:04:00,1551.2785402513414,1576.9456008842176,0.8781230080888691,6.503305517928241
5.909220246408745,TARGET,494,2020-01-10 19:03:00,2020-01-20 04:44:00,1558.908869255459,1588.3128241420268,0.8929660412846305,6.617519562006723
5.771072807727323,TARGET,11,2020-01-20 13:15:00,2020-01-20 16:01:00,1560.3220878484892,1582.2657511560408,0.8567883677871115,6.735703966934897
5.814076363090972,TARGET,4,2020-01-20 23:00:00,2020-01-21 00:03:00,1561.9707119635405,1582.7458599146287,0.8486308458894299,6.851125423089443
6.07256476301988,TARGET_SAME,0,2020-01-21 03:05:00,2020-01-21 03:13:00,1566.1176586860806,1590.6972036879433,0.8715674003674684,6.967406950351262
6.2290869008158065,TARGET,160,2020-01-21 03:15:00,2020-01-22 20:25:00,1566.143326078255,1592.1838938300248,0.8787151167357462,7.088858245611661
6.436721156836389,TARGET_SAME,0,2020-01-22 20:15:00,2020-01-22 20:25:00,1557.71495199083,1586.91938255212,0.8923233812779379,7.213439983627977
6.604809745011724,TARGET,161,2020-01-22 20:37:00,2020-01-24 14:45:00,1557.759047264391,1589.0932562976166,0.8995713502700767,7.342174406764704
