symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
GOLD,-92.20880503691725,STOP,4,2013-12-18 18:03:00,2013-12-18 19:00:00,1233.5322999999999,1226.2725,-1.6112601826832313
GOLD,-115.47991870155572,STOP,3,2013-12-20 12:15:00,2013-12-20 13:06:00,1196.2,1191.7071,-2.0850930606060785
SILVER,-78.15843579924777,STOP,13,2013-12-20 09:00:00,2013-12-20 13:31:00,19.29,19.13085,-1.4112203571428539
SILVER,-111.34644321247906,STOP,25,2013-12-23 11:34:00,2013-12-24 01:12:00,19.4,19.330650000000002,-2.1616130000000524
SILVER,-85.2676190200275,STOP,2,2013-12-26 10:05:00,2013-12-26 10:43:00,19.53,19.43055,-1.7301318749999717
GOLD,131.10727730359685,TARGET,95,2013-12-20 14:00:00,2013-12-26 13:31:00,1195.9947999999997,1211.8791999999987,2.5452379693283693
GOLD,133.55471880586407,TARGET,17,2013-12-26 13:31:00,2013-12-26 18:56:00,1211.7,1233.3000000000002,2.660416666666669
SILVER,-61.48111682624843,STOP,125,2013-12-26 13:25:00,2013-12-31 08:13:00,19.62,19.40058,-1.2922029000000022
SILVER,-77.45463433328149,STOP,24,2014-01-02 13:25:00,2014-01-02 21:03:00,20.08,19.94004,-1.4998336666666863
SILVER,-93.30181754120704,STOP,2,2014-01-05 23:02:00,2014-01-06 00:13:00,20.18,20.08989,-1.862569857142839
GOLD,136.25830145925397,TARGET,81,2014-01-02 13:48:00,2014-01-06 01:46:00,1222.7214999999999,1243.1859999999992,2.6385094920471928
GOLD,-73.6173279640766,STOP,2,2014-01-06 14:36:00,2014-01-06 15:14:00,1242.8415999999997,1233.2655,-1.4448315790735755
GOLD,-68.98793950025106,STOP_SAME,0,2014-01-06 15:07:00,2014-01-06 15:14:00,1248.2469999999998,1237.5611999999999,-1.394263596909085
SILVER,-72.34647816370469,STOP,4,2014-01-07 02:01:00,2014-01-07 07:33:00,20.25,20.109869999999997,-1.5040822500000106
GOLD,-115.21790174902534,STOP,20,2014-01-09 03:19:00,2014-01-09 14:13:00,1226.8,1223.0756999999999,-2.469670280000034
SILVER,-81.86171460547337,STOP,2,2014-01-10 12:51:00,2014-01-10 13:28:00,19.79,19.70028,-1.8458611428571323
GOLD,108.17073899055451,TARGET,35,2014-01-09 18:00:00,2014-01-10 13:30:00,1227.4,1240.6000000000004,2.4390909090909205
SILVER,-64.27053710878288,STOP,8,2014-01-15 23:10:00,2014-01-16 07:25:00,20.27,20.109869999999997,-1.432213357142868
SILVER,-95.47872747963828,STOP,12,2014-01-22 16:06:00,2014-01-22 20:52:00,19.88,19.81017,-2.190403399999961
SILVER,-69.6391532879781,STOP,3,2014-01-23 15:00:00,2014-01-23 15:57:00,20.240219999999997,20.129849999999998,-1.6708054755043438
SILVER,-100.76836294458252,STOP,2,2014-01-24 01:04:00,2014-01-24 04:45:00,20.05,19.989990000000002,-2.501249750000012
SILVER,-49.48941367051829,STOP,15,2014-01-29 19:46:00,2014-01-30 07:24:00,19.68,19.46052,-1.2931026000000083
SILVER,-91.46277653007186,STOP,1,2014-02-03 19:52:00,2014-02-03 20:02:00,19.41,19.350630000000002,-2.4532657499999946
SILVER,97.0579338546616,TARGET,41,2014-02-04 17:12:00,2014-02-05 13:20:00,19.45,19.899999999999995,2.737666666666664
SILVER,-59.61352248673984,STOP,66,2014-02-05 19:31:00,2014-02-07 09:21:00,19.88,19.76022,-1.5942022000000207
GOLD,126.50896230741276,TARGET,1122,2014-01-10 14:55:00,2014-02-10 15:55:00,1245.0,1287.0,2.819142857142857
GOLD,73.11733551309777,TARGET_SAME,0,2014-02-10 15:46:00,2014-02-10 15:55:00,1275.6,1282.4999999999998,1.88778260869563
GOLD,-95.40839607851838,STOP,7,2014-02-11 11:01:00,2014-02-11 13:31:00,1284.4,1280.3183999999999,-2.3736851428570627
GOLD,-91.19066007458463,STOP,6,2014-02-11 19:45:00,2014-02-11 23:06:00,1292.0,1287.9108,-2.381825285714286
SILVER,97.39645037061698,TARGET,158,2014-02-07 17:35:00,2014-02-12 12:35:00,19.93,20.319999999999997,2.6903846153846134
GOLD,62.35040919865841,TARGET,10,2014-02-12 09:57:00,2014-02-12 13:24:00,1287.0,1293.0,1.7099999999999997
SILVER,-74.1021034375056,STOP,9,2014-02-12 17:16:00,2014-02-12 19:43:00,20.32,20.22975,-1.868567857142865
GOLD,-62.553035927402505,STOP,27,2014-02-12 15:15:00,2014-02-13 04:03:00,1294.3,1286.3123999999998,-1.577345134328371
GOLD,83.14771277070493,TARGET,20,2014-02-14 01:15:00,2014-02-14 11:48:00,1304.0,1314.5,2.251857142857143
GOLD,82.83138700296601,TARGET,12,2014-02-14 17:53:00,2014-02-17 23:09:00,1318.1,1327.3999999999996,2.1466129032257815
GOLD,-89.97073540905603,STOP,1,2014-02-19 18:46:00,2014-02-19 19:00:00,1320.6,1316.0826000000002,-2.235650812500041
SILVER,-66.21734435569314,STOP,2,2014-02-20 17:45:00,2014-02-20 18:28:00,21.74,21.628349999999998,-1.722426111111124
GOLD,87.87415686463089,TARGET,75,2014-02-20 15:45:00,2014-02-21 18:36:00,1315.8,1326.9,2.285756756756766
SILVER,-54.38018758877848,STOP,16,2014-02-21 18:29:00,2014-02-24 01:09:00,21.8,21.63834,-1.464988142857146
GOLD,97.78647039761297,TARGET,26,2014-02-21 18:33:00,2014-02-24 06:09:00,1324.8,1341.3,2.5152545454545456
GOLD,-123.32959606925841,STOP,1,2014-02-24 12:47:00,2014-02-24 13:09:00,1333.6,1330.3683,-3.102983315789601
GOLD,80.62959927569602,TARGET,16,2014-02-24 14:15:00,2014-02-24 18:25:00,1334.6,1344.1999999999994,2.162874999999952
GOLD,-136.35025286991834,STOP,1,2014-02-24 21:49:00,2014-02-24 23:08:00,1338.0,1335.0636000000002,-3.5059147500000876
SILVER,-50.93086297186518,STOP,28,2014-02-24 15:08:00,2014-02-25 01:37:00,22.1,21.89808,-1.3662115555555643
GOLD,-38.861271423981194,STOP,51,2014-02-25 16:30:00,2014-02-26 12:50:00,1372.0,1332.4661999999998,-1.1057137748691128
SILVER,-60.74696729322453,STOP,26,2014-02-26 04:51:00,2014-02-26 12:45:00,21.92,21.808169999999997,-1.7284241111110985
SILVER,-75.60282510584081,STOP,5,2014-02-27 17:01:00,2014-02-27 18:35:00,21.38,21.30867,-2.2803733999999607
GOLD,-66.8115857657464,STOP,16,2014-02-27 14:53:00,2014-02-27 19:00:00,1333.8324999999998,1328.5701000000001,-2.0152072727273476
SILVER,-38.70117963873607,STOP,7,2014-03-02 23:40:00,2014-03-03 02:01:00,21.4,21.14883,-1.277038391304358
SILVER,56.75933611982524,TARGET,1,2014-03-03 14:30:00,2014-03-03 14:50:00,21.5,21.619999999999997,1.921999999999977
GOLD,66.47516420693398,TARGET,31,2014-03-03 05:30:00,2014-03-03 15:25:00,1342.8,1353.5999999999997,2.2509999999999817
SILVER,-47.1443811357502,STOP,16,2014-03-03 14:45:00,2014-03-03 18:45:00,21.58,21.43854,-1.5373211666666875
GOLD,-66.45787865604343,STOP,8,2014-03-03 19:15:00,2014-03-04 01:00:00,1352.3509999999999,1347.4512,-2.140130160518181
SILVER,-50.7616505262651,STOP,14,2014-03-05 15:03:00,2014-03-05 19:52:00,21.3,21.18879,-1.7077643333333339
GOLD,-89.32316164409883,STOP,18,2014-03-05 15:30:00,2014-03-05 23:00:00,1338.5,1335.1634999999999,-3.0050817500000577
GOLD,-91.0806501135721,STOP,1,2014-03-06 21:54:00,2014-03-06 23:06:00,1352.0,1348.9497,-3.3830880588235015
GOLD,-49.57501279672116,STOP,4,2014-03-07 12:32:00,2014-03-07 13:30:00,1352.3509999999999,1346.8518000000001,-1.9750428330522916
GOLD,25.76587602965785,TARGET,1,2014-03-12 01:21:00,2014-03-12 01:33:00,1349.8,1353.9999999999995,1.0687142857140977
GOLD,-70.50269204003943,STOP,10,2014-03-12 18:54:00,2014-03-13 00:08:00,1368.2,1364.634,-2.863106363636318
GOLD,-49.739817981961636,STOP,10,2014-03-14 00:00:00,2014-03-14 05:23:00,1374.0,1369.0296,-2.1426193333333674
SILVER,-30.38911092737104,STOP,218,2014-03-12 16:33:00,2014-03-18 01:17:00,21.36134,21.06891,-1.2340983636765728
GOLD,-40.3234364976747,STOP,6,2014-03-19 01:20:00,2014-03-19 04:42:00,1360.0,1353.9447,-1.8657967446808308
GOLD,-64.66403294514919,STOP,2,2014-03-21 19:16:00,2014-03-21 19:53:00,1336.8,1333.5651,-3.1080342631580784
GOLD,-37.40929275262887,STOP,8,2014-03-25 09:16:00,2014-03-25 11:35:00,1318.0,1312.3863000000001,-1.9172293720930162
SILVER,-34.22675164454258,STOP,2,2014-03-25 11:15:00,2014-03-25 11:46:00,20.17,20.06991,-1.7541238749999788
GOLD,-53.69311478014517,STOP,18,2014-03-26 06:21:00,2014-03-26 12:21:00,1315.0,1311.687,-2.9698435000000507
SILVER,-24.798083842917997,STOP,12,2014-03-31 09:25:00,2014-03-31 12:55:00,19.95,19.80018,-1.458232153846152
GOLD,-27.305639446584095,STOP,43,2014-03-28 16:55:00,2014-03-31 13:32:00,1295.6943999999999,1288.0107,-1.6056870230201377
SILVER,-34.8899179509194,STOP,1,2014-04-01 16:16:00,2014-04-01 16:43:00,19.8,19.73025,-2.185604999999951
GOLD,31.226287134896538,TARGET,5,2014-04-02 07:16:00,2014-04-02 08:49:00,1284.5,1292.6000000000001,2.0455185185185343
SILVER,39.020844241519264,TARGET,16,2014-04-02 06:43:00,2014-04-02 12:10:00,19.84,20.11,2.5561111111111106
SILVER,-50.05083707869538,STOP_SAME,0,2014-04-02 17:53:00,2014-04-02 17:54:00,20.05,19.99998,-3.0023326666665513
GOLD,-28.87717492757632,STOP,18,2014-04-02 23:41:00,2014-04-03 08:10:00,1293.7924999999998,1287.9108,-1.8428749700599132
SILVER,-18.44812726592214,STOP,19,2014-04-04 12:33:00,2014-04-04 17:18:00,20.2,19.91007,-1.222370629629625
SILVER,36.78573335316703,TARGET,16,2014-04-07 23:32:00,2014-04-08 07:25:00,19.94,20.180000000000007,2.4985000000000115
SILVER,-34.09290515828334,STOP,3,2014-04-08 11:00:00,2014-04-08 11:54:00,20.13,20.059919999999998,-2.2053983999999853
SILVER,-37.016322207168066,STOP,2,2014-04-08 13:10:00,2014-04-08 13:40:00,20.1,20.039939999999998,-2.5049984999999197
SILVER,23.380392238247172,TARGET,1,2014-04-10 06:53:00,2014-04-10 07:05:00,19.97,20.05999999999999,1.6656666666665594
SILVER,36.20989802715384,TARGET,3,2014-04-10 07:00:00,2014-04-10 07:59:00,20.02,20.259999999999994,2.4964999999999895
SILVER,-25.39261626465474,STOP,4,2014-04-14 06:49:00,2014-04-14 07:52:00,20.09,19.98,-1.6674444444444407
GOLD,-18.0872608922343,STOP,442,2014-04-04 13:33:00,2014-04-15 12:26:00,1310.1,1289.2095,-1.1984596683673512
SILVER,-20.832560155066417,STOP,1,2014-04-16 11:53:00,2014-04-16 12:05:00,19.63,19.4805,-1.4508500000000093
SILVER,-23.05274200068191,STOP,11,2014-04-16 17:25:00,2014-04-17 01:50:00,19.67,19.560419999999997,-1.6534491111111005
GOLD,-19.38881359372748,STOP,85,2014-04-16 07:27:00,2014-04-17 17:09:00,1304.3029999999999,1291.9068,-1.3503026029001286
SILVER,-24.101252479504424,STOP,1,2014-04-21 00:23:00,2014-04-21 01:01:00,19.67,19.5804,-1.8407200000000041
SILVER,-23.068096543028872,STOP,61,2014-04-22 17:41:00,2014-04-24 07:50:00,19.4,19.31067,-1.829152428571426
SILVER,-26.496792129918077,STOP,1,2014-04-24 22:01:00,2014-04-25 01:01:00,19.72,19.65033,-2.1808066000000954
GOLD,28.75311442429575,TARGET,31,2014-04-24 19:57:00,2014-04-25 13:19:00,1292.5,1304.7999999999997,2.3665121951219374
GOLD,-13.745048181029963,STOP,2,2014-04-25 15:41:00,2014-04-25 16:10:00,1330.1,1297.9008000000001,-1.1270938770226522
SILVER,-16.17128644374957,STOP,60,2014-04-25 11:04:00,2014-04-28 12:00:00,19.69,19.52046,-1.3916697333333226
GOLD,-27.94388168357934,STOP,45,2014-04-25 17:24:00,2014-04-28 14:10:00,1301.8,1297.6011,-2.3442417586207545
GOLD,-22.584806005722832,STOP,5,2014-04-30 23:27:00,2014-05-01 01:08:00,1293.1,1288.1106,-2.0461109729730556
GOLD,-29.976744066430104,STOP,17,2014-05-02 07:40:00,2014-05-02 12:30:00,1284.0,1280.6181000000001,-2.8316752857143412
SILVER,-21.443592996325446,STOP,2,2014-05-02 13:00:00,2014-05-02 13:35:00,19.16,19.090889999999998,-2.1472178000000097
SILVER,22.42263530946684,TARGET,7,2014-05-02 21:04:00,2014-05-05 01:01:00,19.53,19.710000000000008,2.3460000000000245
SILVER,20.207658768481558,TARGET_SAME,0,2014-05-05 01:00:00,2014-05-05 01:01:00,19.55,19.669999999999998,2.019499999999979
SILVER,25.376145871260604,TARGET,107,2014-05-05 02:09:00,2014-05-07 07:49:00,19.58,19.78999999999999,2.4375714285714025
GOLD,-16.201016231168072,STOP,131,2014-05-05 00:52:00,2014-05-07 14:00:00,1301.6,1294.704,-1.695054285714306
GOLD,-23.386460084923776,STOP,35,2014-05-08 18:39:00,2014-05-09 15:15:00,1290.6,1286.1126000000002,-2.2075351875000484
SILVER,10.551495018168387,TARGET,4,2014-05-13 20:38:00,2014-05-14 07:01:00,19.55,19.61,1.0419999999999583
GOLD,25.761217313022243,TARGET,112,2014-05-12 07:30:00,2014-05-14 12:24:00,1291.0,1308.1000000000001,2.5440175438596526
GOLD,-21.20356107259662,STOP,21,2014-05-14 17:12:00,2014-05-15 06:30:00,1306.7,1301.2974,-1.9538042439024037
SILVER,-15.002531943898271,STOP,68,2014-05-14 07:23:00,2014-05-15 12:30:00,19.65,19.50048,-1.451311384615388
GOLD,-25.32471395349312,STOP,3,2014-05-19 13:44:00,2014-05-19 14:15:00,1302.5,1298.6001,-2.5003846538461985
GOLD,-38.35637048137612,STOP_SAME,0,2014-05-21 01:05:00,2014-05-21 01:11:00,1295.4,1292.8058999999998,-3.9863891538457907
